time,dataset,trial,auc,auprc,train_time_min
2026-06-02 10:13,Disney,10,63.06±12.84(79.17),7.12±3.63(13.46),0.51
2026-06-02 10:17,book,10,57.15±2.71(60.94),2.50±0.40(3.35),0.31
2026-06-02 10:19,Facebook,10,68.21±9.54(82.22),5.42±3.62(14.35),0.30
2026-06-02 10:23,cora,10,43.75±3.94(50.53),4.79±0.54(5.95),0.34
2026-06-02 10:27,citeseer,10,42.66±3.55(47.82),3.62±0.29(4.12),0.34
2026-06-02 14:40,twitter,10,50.00±0.00(50.00),54.99±0.17(55.24),0.86
2026-06-02 14:46,tolokers,10,49.32±5.49(57.08),21.95±3.21(26.65),1.28
2026-06-02 14:58,Amazon,10,63.58±8.55(74.44),12.22±5.78(26.51),2.81
2026-06-02 15:21,ACM,10,41.48±4.74(46.99),2.97±0.29(3.29),1.81
2026-06-02 15:27,Flickr,10,42.12±4.54(49.29),10.11±3.29(15.95),0.74
2026-06-02 15:31,BlogCatalog,10,38.82±4.14(49.00),8.44±1.76(11.79),0.57
2026-06-02 15:48,YelpChi,10,67.81±5.17(74.83),14.06±2.06(17.18),5.18
2026-06-02 15:57,Reddit,10,62.29±2.30(65.51),5.42±1.03(6.74),2.18
2026-06-02 16:10,weibo,10,59.49±8.88(71.93),55.95±8.33(68.41),1.75
